"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"Base Year",
"Argentina","213","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-7547770368.62146","-7726740702.30913","-22561633295.59","-23081015533.438","-26086939918.3679","-18028525741.2733","-15842528078","-16383877446.4379","-11411331216.5113","35224750000","39582250000","44688750000","45995000000","57909590604.3457","-87131441519.3614","-103533206147.11",,,,"",
"Libya","672","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-341000000","-445000000","-672000000",,,,,,,,,,,,,,,,,"",
"Nepal","558","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","13125000000","1701000000","-604900000","-675700000","-1683900000","1636500000","4955500000","7431800000","7946800000","11749500000","9117400000","7549400000","12291400000","13078840000","32751700000","34242500000","34004302274.3041","30995072345.8801","22614940647.7868","",
"Barbados","316","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value",,"4000000",,,,,,,,,,,,,,,,,,"",
"Pakistan","564","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-47960000000","-54480000000","23670000000","151810000000","124480000000","134470000000","149900000000","157630000000","208916000000","346281000000","566247000000","820225000000","1035707000000","1161607000000","1428227000000","1674811000000","1868679000000",,,"",
"Kuwait","443","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","2055000000","1503800000","1017200000","1001500000","1528900000","2097100000","3182300000","3522700000","2887900000","2700000000","2700000000","2481000000","3554000000","3450000000",,,,,,"",
"China, P.R.: Mainland","924","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-151071977134.1","-197400445958","-181178427926.199","-173837201054.5","-132671922898.1","-319153339442.102","-217800424554.199","-85536473423","156462096389.902","-138482779764.598","55697498447.5","-128460038610.5","-187236135524.195","-654045369906.297","-239060937343.398","-260250000000","-298680000000","-229330000000",,"",
"Poland, Rep. of","964","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","533179000000","554540000000","557013000000","548931000000","595482000000","642660000000","680266000000","767196000000","875003000000","869136000000","930076000000","996044000000","1045599000000","1045689000000","1056387000000","1069814000000","1135718000000","1201849000000","1304819000000","",
"Russian Federation","922","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-189092900000","-123643300000","-206685600000","-401437100000","-368230500000","-539005100000","-796484400000","-783555400000","-1210402900000","-1261096400000","-1477848300000","-1768812000000","-2105512300000","-2546530200000","-2537545900000","-2155759800000",,"-2299282800000",,"",
"Bahamas, The","313","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-110600000","-127900000","-134500000","-96200000","-78000000","-130000000","-125100000","-146684934.646667","-59343822.86","-140320284.177","-207540000","-188120000","-222450000","-293300000","-370800000","-432850000",,,,"",
